,process,t,Cf_N,G_Cf,V_N,CF_N
135,exp7_aug_03,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_03,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_03,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_03,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_03,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_03,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_03,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_03,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_03,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_03,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_03,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_03,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_04,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_04,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_04,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_04,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_04,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_04,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_04,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_04,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_04,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_04,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_04,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_04,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_04,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_04,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_04,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_04,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_04,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_04,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_04,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_04,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_04,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_05,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_05,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_05,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_05,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_05,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_05,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_05,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_05,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_05,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_05,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_05,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_05,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_05,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_05,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_05,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_05,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_05,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_05,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_05,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_05,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_05,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_06,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_06,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_06,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_06,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_06,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_06,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_06,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_06,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_06,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_06,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_06,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_06,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_06,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_06,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_06,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_06,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_06,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_06,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_06,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_06,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_06,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_07,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_07,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_07,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_07,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_07,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_07,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_07,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_07,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_07,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_07,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_07,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_07,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_07,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_07,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_07,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_07,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_07,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_07,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_07,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_07,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_07,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_08,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_08,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_08,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_08,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_08,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_08,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_08,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_08,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_08,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_08,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_08,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_08,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_08,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_08,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_08,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_08,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_08,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_08,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_08,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_08,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_08,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_09,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_09,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_09,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_09,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_09,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_09,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_09,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_09,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_09,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_09,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_09,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_09,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_09,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_09,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_09,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_09,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_09,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_09,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_09,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_09,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_09,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
126,exp7_aug_10,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_10,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_10,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_10,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_10,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_10,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_10,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_10,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_10,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_10,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_10,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_10,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
138,exp7_aug_10,18.6,0.0127356136133501,339.9,0.7699488220408065,0.2699488220408065
139,exp7_aug_10,20.15,0.0124689986468551,339.9,0.7894818679908969,0.2894818679908968
140,exp7_aug_10,21.7,0.0122064756925052,339.9,0.8086048320523322,0.3086048320523323
141,exp7_aug_10,23.25,0.0119480447503005,339.9,0.8273240568439382,0.3273240568439381
142,exp7_aug_10,24.8,0.011693705820241,339.9,0.845645884984539,0.3456458849845391
143,exp7_aug_10,26.35,0.0114434589023267,339.9,0.8635766590929603,0.3635766590929604
144,exp7_aug_10,27.9,0.0111973039965576,339.9,0.881122721788027,0.3811227217880271
145,exp7_aug_10,29.45,0.0109552411029337,339.9,0.898290415688564,0.3982904156885641
146,exp7_aug_10,31.0,0.010717270221455,339.9,0.9150860834133966,0.4150860834133967
147,exp8_aug_01,0.0,0.0170577868203859,339.9,0.5013270306511209,0.0013270306511207
148,exp8_aug_01,1.55,0.0165507750693014,339.9,0.527370154129606,0.0273701541296058
149,exp8_aug_01,3.1,0.0160709528874244,339.9,0.5526484813100456,0.0526484813100457
150,exp8_aug_01,4.65,0.0156183202747549,339.9,0.5772041560247123,0.0772041560247121
151,exp8_aug_01,6.2,0.015192877231293,339.9,0.6010793221058766,0.1010793221058766
152,exp8_aug_01,7.75,0.0147946237570387,339.9,0.6243161233858111,0.1243161233858111
153,exp8_aug_01,9.3,0.0144235598519919,339.9,0.6469567036967871,0.1469567036967872
154,exp8_aug_01,10.85,0.0140796855161526,339.9,0.6690432068710765,0.1690432068710766
155,exp8_aug_01,12.4,0.0137630007495209,339.9,0.690617776740951,0.190617776740951
